00001,269,408,901,1784
00002,271,394,903,1786
00003,352,471,824,1783
00004,347,479,843,1783
00005,349,463,845,1783
00006,348,441,828,1785
00007,348,401,892,1785
00008,291,434,915,1786
00009,301,426,909,1786
00010,338,394,882,1786
00011,348,387,876,1787
00012,331,379,859,1787
00013,264,434,912,1786
00014,279,434,863,1786
00015,327,380,839,1788
00016,262,470,862,1790
00017,220,424,892,1792
00018,92,416,980,1792
00019,215,434,951,1802
00020,188,473,940,1817
00021,155,450,955,1818
00022,114,473,954,1817
00023,354,424,826,1856
00024,349,447,893,1791
00025,224,423,856,1791
00026,347,451,987,1827
00027,347,449,979,1825
00028,318,461,894,1821
00029,274,484,770,1820
00030,269,490,765,1818
00031,254,429,902,1821
00032,200,399,880,1807
00033,234,420,930,1796
00034,316,413,868,1797
00035,256,416,936,1800
00036,260,459,860,1787
00037,290,441,898,1801
00038,353,421,817,1797
00039,351,422,895,1798
00040,253,474,957,1786
00041,241,418,921,1786
00042,302,434,950,1802
00043,326,433,974,1801
00044,324,445,956,1805
00045,305,410,849,1810
00046,348,402,1012,1818
00047,328,412,1008,1820
00048,39,424,1023,1816
00049,38,420,1022,1820
00050,247,422,871,1806
00051,258,422,874,1814
00052,336,452,840,1812
00053,199,406,1079,1814
00054,45,303,837,1919
00055,189,420,941,1812
00056,165,415,885,1815
00057,346,490,930,1810
00058,121,454,897,1822
00059,155,503,883,1807
00060,163,375,835,1807
00061,217,440,913,1808
00062,325,408,781,1816
00063,356,431,860,1815
00064,232,430,888,1806
00065,221,448,925,1808
00066,239,409,823,1785
00067,201,431,897,1775
00068,204,441,868,1785
00069,183,418,863,1786
00070,242,408,850,1784
00071,234,405,858,1797
00072,275,412,867,1796
00073,290,399,842,1791
00074,293,438,885,1790
00075,67,349,811,1861
00076,196,393,796,1865
00077,140,393,956,1865
00078,192,385,936,1865
00079,158,418,966,1866
00080,154,401,778,1841
00081,234,443,818,1819
00082,265,464,801,1776
00083,329,450,825,1786
00084,307,451,859,1795
00085,337,440,841,1776
00086,347,451,811,1787
00087,219,431,891,1791
00088,240,414,928,1774
00089,240,406,896,1774
